공부시간,출석률,이전점수,과제제출수,수면시간,target
2.4,100.0,71.0,4,5.8,1
2.9,85.0,58.0,1,8.4,0
3.4,99.0,55.0,10,6.9,1
9.7,83.0,75.0,9,6.2,1
3.2,89.0,75.0,9,7.9,1
6.8,81.0,88.0,3,3.9,1
3.0,80.0,85.0,3,4.1,1
7.0,73.0,68.0,9,7.5,1
5.8,87.0,53.0,5,6.6,0
4.7,72.0,66.0,7,6.8,1
4.9,90.0,73.0,5,4.9,1
3.6,95.0,67.0,4,6.5,1
6.0,86.0,62.0,6,8.9,1
4.0,79.0,74.0,8,7.5,1
2.3,87.0,63.0,3,6.7,0
2.2,78.0,61.0,8,6.0,0
5.4,93.0,74.0,2,6.0,1
8.5,60.0,64.0,4,3.9,1
5.4,78.0,73.0,10,6.8,1
4.7,,74.0,10,7.5,1
5.6,64.0,54.0,10,4.6,1
7.9,98.0,63.0,3,5.7,0
5.5,93.0,90.0,9,5.1,1
4.1,73.0,54.0,10,5.3,0
7.4,64.0,40.0,10,6.6,1
5.9,46.0,44.0,0,4.0,0
8.4,75.0,70.0,8,7.2,1
5.4,100.0,70.0,10,7.4,1
2.3,87.0,68.0,8,6.2,1
2.0,75.0,87.0,2,3.5,1
8.6,,33.0,8,5.3,0
8.8,63.0,76.0,1,8.0,1
4.6,78.0,92.0,5,3.2,1
4.2,83.0,54.0,6,6.1,1
8.2,81.0,65.0,5,5.1,1
2.6,,59.0,7,7.5,0
3.0,,57.0,2,5.7,0
6.4,90.0,65.0,6,7.0,1
4.1,74.0,90.0,7,7.2,1
5.0,93.0,96.0,6,8.7,1
4.6,100.0,65.0,3,6.3,0
5.7,70.0,97.0,3,7.0,1
8.1,71.0,70.0,2,4.7,1
5.2,98.0,95.0,5,7.9,1
6.4,80.0,69.0,6,5.6,0
0.5,99.0,72.0,3,5.8,0
4.9,77.0,75.0,4,6.5,0
3.1,99.0,100.0,3,4.6,1
2.3,84.0,82.0,2,6.8,0
3.1,85.0,60.0,7,7.7,0
4.3,100.0,84.0,8,6.9,1
7.0,78.0,65.0,3,4.6,1
2.1,71.0,63.0,9,6.4,0
5.1,77.0,83.0,6,7.4,1
3.9,87.0,70.0,1,4.2,0
4.3,,74.0,4,5.2,1
7.2,90.0,70.0,0,7.6,1
6.2,76.0,75.0,0,6.8,0
7.9,96.0,76.0,3,7.0,1
4.7,,43.0,4,8.7,0
3.5,,79.0,8,7.1,1
4.5,62.0,56.0,1,7.3,0
5.5,72.0,50.0,9,9.8,1
5.4,85.0,69.0,2,6.2,1
2.6,80.0,71.0,1,5.5,1
5.2,79.0,60.0,7,7.0,0
5.5,80.0,82.0,8,7.0,1
10.5,84.0,51.0,6,5.9,1
9.1,70.0,64.0,1,5.3,1
3.1,90.0,62.0,1,9.3,0
4.4,90.0,69.0,4,6.9,1
1.8,87.0,74.0,4,5.6,0
3.7,89.0,56.0,10,7.6,1
5.7,86.0,80.0,3,6.4,1
7.7,100.0,71.0,2,6.2,1
3.4,81.0,44.0,10,7.2,0
3.6,78.0,43.0,1,4.9,0
0.3,73.0,70.0,0,6.9,0
4.6,70.0,67.0,4,8.8,0
2.7,67.0,69.0,4,7.1,0
3.8,71.0,70.0,6,6.0,1
3.1,81.0,73.0,9,5.9,1
4.8,86.0,83.0,10,6.0,1
1.1,83.0,54.0,3,6.2,0
1.8,73.0,54.0,10,6.0,0
9.7,93.0,55.0,6,7.6,1
2.2,91.0,74.0,0,4.4,0
2.6,80.0,87.0,10,7.5,1
9.0,74.0,64.0,1,6.0,0
11.4,89.0,35.0,6,7.0,1
2.4,84.0,46.0,8,5.1,0
4.2,65.0,58.0,2,8.1,0
5.8,81.0,62.0,2,8.0,0
8.8,85.0,64.0,5,7.7,1
2.8,71.0,71.0,9,4.7,0
4.5,84.0,66.0,2,7.5,0
6.7,65.0,85.0,7,7.0,1
6.0,98.0,61.0,4,4.6,1
4.2,97.0,58.0,1,6.5,0
4.7,79.0,77.0,7,6.9,1
2.0,86.0,49.0,9,7.2,0
4.5,53.0,75.0,6,6.7,1
4.4,68.0,71.0,1,6.8,0
5.5,78.0,68.0,1,8.3,0
3.8,69.0,92.0,4,8.0,0
6.0,91.0,61.0,5,3.1,1
7.2,100.0,99.0,6,6.1,1
5.3,68.0,67.0,2,6.3,0
5.8,72.0,52.0,5,4.4,0
5.1,85.0,71.0,3,6.6,1
5.0,100.0,55.0,7,8.0,1
3.4,67.0,59.0,8,5.2,0
5.7,85.0,76.0,7,6.9,1
4.8,100.0,78.0,0,5.4,1
9.6,62.0,61.0,10,5.7,1
8.5,67.0,84.0,0,8.3,0
5.8,77.0,86.0,10,5.8,1
3.3,76.0,90.0,0,7.1,0
2.6,92.0,77.0,5,4.3,0
7.6,85.0,89.0,1,8.7,1
5.6,61.0,44.0,1,7.2,0
6.1,88.0,66.0,7,6.3,1
1.2,75.0,58.0,8,7.2,0
7.0,97.0,72.0,1,4.8,0
6.0,74.0,62.0,10,7.9,1
2.6,74.0,68.0,3,6.1,0
4.0,88.0,96.0,3,6.3,1
5.6,91.0,68.0,3,5.9,1
5.1,87.0,76.0,5,5.8,1
4.4,62.0,67.0,1,7.3,0
4.8,,71.0,4,6.8,0
4.4,70.0,70.0,2,7.3,0
5.3,85.0,76.0,0,6.5,1
8.2,65.0,86.0,4,7.1,1
0.0,87.0,93.0,7,6.0,1
4.5,72.0,74.0,8,9.2,1
5.4,67.0,78.0,3,4.6,0
5.7,91.0,54.0,3,8.0,0
4.2,85.0,69.0,8,8.1,1
1.1,75.0,83.0,7,5.5,1
5.7,99.0,82.0,9,9.2,1
8.8,77.0,73.0,9,7.7,1
1.6,82.0,82.0,9,7.7,0
6.9,85.0,77.0,10,6.5,1
4.3,75.0,87.0,4,6.2,1
4.9,88.0,74.0,4,6.2,1
2.7,76.0,65.0,3,7.0,0
4.3,77.0,75.0,2,8.2,0
7.9,98.0,29.0,8,6.7,1
6.3,70.0,75.0,7,5.4,1
8.8,53.0,20.0,8,7.5,0
7.6,100.0,46.0,1,7.6,1
6.0,100.0,76.0,5,7.3,1
8.8,77.0,77.0,2,7.4,1
6.0,59.0,54.0,9,6.2,0
6.8,78.0,60.0,2,5.4,0
4.3,79.0,89.0,1,5.5,0
5.1,80.0,63.0,6,4.5,0
3.5,69.0,100.0,9,6.8,1
7.2,89.0,70.0,10,6.4,1
2.4,88.0,76.0,1,6.0,1
